2026-01-20 19:56:52.149; VERBOSE; ScenarioProfile; 24820; 27760] ScenarioProfile::SystemFunctionModeChange End
2026-01-20 19:56:52.149; INFO; ScenarioProfile; 24820; 27760] (SystemVolumeHelper)OnNotify: OnNotify : Call SystemFunctionModeChange End
2026-01-20 19:56:52.176; INFO; ThrottleControl; 24820; 24152] ThrottlePlugin::SetPowerScheme, User Mode: 0, Mode: 0, IsAC: 0, IsPDInOS: 0, CPU Verdor: 2, PowerSchemeReset: 0, PS: 0x00000000, Result: 1, Source: Current Profile, PowerSettingsSync Enabled: 0, GetSyncPowerSettings: 0, SyncPowerSettings: 
2026-01-20 19:56:52.266; INFO; ThrottleControl; 24820; 24152] ThrottlePlugin::HandleOPModeChanged, SN: 17, User Mode: 0, Mode: 0, SetPowerMode(1): 1, TurnOnTC: 0, OSD: Not displayed
2026-01-20 19:56:56.243; INFO; StreamPlugin; 24820; 18248] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 3
2026-01-20 19:56:56.243; INFO; StreamPlugin; 24820; 18248] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 3, Run Thread: 35076
2026-01-20 19:56:56.245; INFO; StreamPlugin; 24820; 35076] StreamPlugin::SendRequest, (Request)From SystemDevice(0x02) to {D9129F1F-298E-47B2-9944-E175534ACA06}
2026-01-20 19:56:56.245; VERBOSE; StreamPlugin; 24820; 35076] StreamPlugin::SendRequest, requst: {
  Cmd:SetWhisperMode,
  IsEnabled:0,
  MinFPS:0,
  SPLLimit:0,
}
2026-01-20 19:56:59.338; INFO; NVidiaDisplay_Class; 24820; 35076] NvidiaDisplayAdapterDevice::NvWakeupGPU, Result: -1, Wait: 258
2026-01-20 19:57:00.170; INFO; GameLibraryPlugin; 24820; 26760] PBT_APMRESUMEAUTOMATIC
2026-01-20 19:57:00.170; INFO; RedemptionPlugin; 24820; 4572] PBT_APMRESUMESUSPEND
2026-01-20 19:57:00.170; VERBOSE; RedemptionPlugin; 24820; 4572] DeviceThread_PromotionUpdate: Wait unlock device table mutex
2026-01-20 19:57:00.170; VERBOSE; RedemptionPlugin; 24820; 4572] DeviceThread_PromotionUpdate: Start
2026-01-20 19:57:00.170; INFO; RedemptionPlugin; 24820; 4572] DoPromotionTask Start
2026-01-20 19:57:00.170; VERBOSE; RedemptionPlugin; 24820; 4572] DoPromotionTask (waiting_lock): Routine, S7NRCX09N58631E (2)
2026-01-20 19:57:00.170; VERBOSE; RedemptionPlugin; 24820; 4572] DoPromotionTask (start): Routine, S7NRCX09N58631E (2)
2026-01-20 19:57:00.170; VERBOSE; Toolkit.WinRT; 24820; 4572] CallAppService Begin
