2026-01-13 20:46:56.514; VERBOSE; GPUMode; 3764; 21704] [OnPowerChange] m_bBatteryAbove50 = 1
2026-01-13 20:46:56.514; VERBOSE; GPUMode; 3764; 21704] [OnPowerChange] m_showToastCount = 0
2026-01-13 20:46:56.514; VERBOSE; GPUMode; 3764; 21704] [OnPowerChange] End
2026-01-13 20:46:56.514; VERBOSE; AuraPlugin; 3764; 33616] AuraPlugin::OnPowerChange Begin
2026-01-13 20:46:56.515; VERBOSE; AuraPlugin; 3764; 33616] AuraPlugin::OnPowerChange End
2026-01-13 20:46:56.514; INFO; StreamPlugin; 3764; 31004] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 10, completed event: 00000000000005CC
2026-01-13 20:46:56.515; VERBOSE; StreamPlugin; 3764; 31004] StreamPlugin::ConnectionHandler::SendCommand, ready to send command packect, SN: 10
2026-01-13 20:46:56.515; VERBOSE; StreamPlugin; 3764; 31004] StreamPlugin::ConnectionHandler::SendCommand, send command packet, SN: 10
2026-01-13 20:46:56.515; VERBOSE; StreamPlugin; 3764; 3328] StreamPlugin::ConnectionHandler::ConnectionThread, sender event completed, SN: 10, completed event: 000000E5E92FEB80
2026-01-13 20:46:56.516; INFO; StreamPlugin; 3764; 31004] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 10, completed event: 00000000000005CC
2026-01-13 20:46:56.516; INFO; TBGraphicControl; 3764; 31004] OnPowerChange end result = 1, {
  Cmd:HandelPowerChanged,
  OnPowerChangedFromTB:32787,
}
2026-01-13 20:46:56.558; INFO; DenoiseAIPlugin; 3764; 16948] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.558; WARNING; DenoiseAIPlugin; 3764; 16948] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.585; INFO; DenoiseAIPlugin; 3764; 16948] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.585; WARNING; DenoiseAIPlugin; 3764; 16948] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.714; INFO; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.714; WARNING; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.747; INFO; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.747; WARNING; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.829; INFO; DenoiseAIPlugin; 3764; 29056] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.829; WARNING; DenoiseAIPlugin; 3764; 29056] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.860; INFO; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.860; WARNING; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.959; INFO; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.959; WARNING; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:57.001; VERBOSE; GPUMode; 3764; 25512] [CheckGraphicCard] m_bFindIntel_iGPU=0 , m_bFindNV=1 , m_bFindAMD_iGPU=0 , m_bFindRadeon=0 , m_bFindIntelARC=0 , m_nDiscreteCardTtl=1
2026-01-13 20:46:57.001; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Supported Nvidia library.
2026-01-13 20:46:57.001; INFO; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:57.001; WARNING; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:57.003; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Start, total processes reported by NVAPI = 23
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] After query, valid process count = 23
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[0]: onedrive.exe (PID=21424)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[0]: onedrive.exe (PID=21424)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[1]: iolotrayapp.exe (PID=30612)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[1]: iolotrayapp.exe (PID=30612)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[2]: xboxpcapp.exe (PID=23976)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[2]: xboxpcapp.exe (PID=23976)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[3]: xboxpctray.exe (PID=25880)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[3]: xboxpctray.exe (PID=25880)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[4]: whatsapp.root.exe (PID=24880)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[4]: whatsapp.root.exe (PID=24880)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[5]: msedgewebview2.exe (PID=22912)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[5]: msedgewebview2.exe (PID=22912)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[6]: m365copilot.exe (PID=26772)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[6]: m365copilot.exe (PID=26772)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[7]: msedgewebview2.exe (PID=26424)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[7]: msedgewebview2.exe (PID=26424)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[8]: copilot.exe (PID=20728)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[8]: copilot.exe (PID=20728)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[9]: applicationframehost.exe (PID=24448)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[9]: applicationframehost.exe (PID=24448)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[10]: systemsettings.exe (PID=7564)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[10]: systemsettings.exe (PID=7564)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[11]: shellhost.exe (PID=23644)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[11]: shellhost.exe (PID=23644)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[12]: dwm.exe (PID=23800)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[13]: lockapp.exe (PID=5976)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[13]: lockapp.exe (PID=5976)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[14]: logonui.exe (PID=33776)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[14]: logonui.exe (PID=33776)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[15]: msedge.exe (PID=12436)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[15]: msedge.exe (PID=12436)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[16]: crossdeviceresume.exe (PID=18264)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[16]: crossdeviceresume.exe (PID=18264)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[17]: explorer.exe (PID=16504)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[18]: startmenuexperiencehost.exe (PID=20656)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[18]: startmenuexperiencehost.exe (PID=20656)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[19]: searchhost.exe (PID=21172)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[19]: searchhost.exe (PID=21172)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[20]: shellexperiencehost.exe (PID=21832)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[20]: shellexperiencehost.exe (PID=21832)
