2026-01-17 00:02:03.224; VERBOSE; UpdateCenter; 16480; 30464] UpdateCenter::OnPowerChange End
2026-01-17 00:02:03.224; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] m_bBatteryAbove50 = 1
2026-01-17 00:02:03.224; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] End
2026-01-17 00:02:03.224; VERBOSE; DevicePlugin; 16480; 11748] DevicePlugin::OnPowerChange Begin
2026-01-17 00:02:03.224; VERBOSE; DevicePlugin; 16480; 11748] DevicePlugin::OnPowerChange End
2026-01-17 00:02:03.224; INFO; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 68, completed event: 0000000000001F9C
2026-01-17 00:02:03.224; VERBOSE; SystemFeature; 16480; 12784] OnPowerChange : 32787, -43510176
2026-01-17 00:02:03.224; INFO; SystemFeature; 16480; 12784] [ModernStandby] OnPowerChanged : PBT_POWERSETTINGCHANGE
2026-01-17 00:02:03.224; VERBOSE; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, ready to send command packect, SN: 68
2026-01-17 00:02:03.225; VERBOSE; AuraPlugin; 16480; 30460] [AuraListener] *** WM_POWERBROADCAST, wParam=0x8013 ***
2026-01-17 00:02:03.225; VERBOSE; AuraPlugin; 16480; 30460] [AuraListener] *** PBT_POWERSETTINGCHANGE (wParam = 0x8013) ***
2026-01-17 00:02:03.225; WARNING; AuraPlugin; 16480; 30460] [AuraListener] <BATTERY_PERCENTAGE_REMAINING>
2026-01-17 00:02:03.225; VERBOSE; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, send command packet, SN: 68
2026-01-17 00:02:03.225; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, sender event completed, SN: 68, completed event: 00000096E60FEA30
2026-01-17 00:02:03.225; INFO; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 68, completed event: 0000000000001F9C
2026-01-17 00:02:03.225; INFO; TBGraphicControl; 16480; 692] OnPowerChange end result = 1, {
  Cmd:HandelPowerChanged,
  OnPowerChangedFromTB:32787,
}
2026-01-17 00:02:06.967; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:02:06.967; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:02:14.827; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 17
2026-01-17 00:02:14.837; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 17
2026-01-17 00:02:15.873; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:02:15.874; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:02:23.232; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 18
2026-01-17 00:02:23.232; VERBOSE; StreamPlugin; 16480; 6348] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 18
2026-01-17 00:02:26.962; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:02:26.962; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:02:34.841; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 18
2026-01-17 00:02:34.841; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 18
